id,created_at,question,option_a,option_b,option_c,answer
1,2024-08-03 00:57:42.74573+00,¿Cuál es la capital de Francia?,Berlín,Madrid,París,C
2,2024-08-03 00:57:42.74573+00,¿Qué es el ADN?,Ácido desoxirribonucleico,Ácido ribonucleico,Proteína,A
3,2024-08-03 00:57:42.74573+00,"¿Quién escribió ""Don Quijote""?",Miguel de Cervantes,Gabriel García Márquez,Pablo Neruda,A
4,2024-08-03 00:57:42.74573+00,¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Marte,A
5,2024-08-03 00:57:42.74573+00,¿Cuál es el océano más grande?,Atlántico,Íntico,Pacífico,C
6,2024-08-03 00:57:42.74573+00,¿Qué es la fotosíntesis?,Proceso de respiración,Proceso de conversión de luz en energía,Proceso de fermentación,B
7,2024-08-03 00:57:42.74573+00,"¿Quién pintó ""La Mona Lisa""?",Vincent van Gogh,Leonardo da Vinci,Claude Monet,B
8,2024-08-03 00:57:42.74573+00,¿Qué país tiene forma de bota?,España,Italia,Grecia,B
9,2024-08-03 00:57:42.74573+00,¿Cuál es el continente más pequeño?,Asia,Europa,Oceanía,C
10,2024-08-03 00:57:42.74573+00,"¿Qué elemento químico tiene el símbolo ""O""?",Oro,Oxígeno,Osmio,B
11,2024-08-03 00:57:42.74573+00,¿En qué año llegó el hombre a la Luna?,1965,1969,1972,B
12,2024-08-03 00:57:42.74573+00,¿Qué instrumento mide la temperatura?,Barómetro,Termómetro,Higrómetro,B
13,2024-08-03 00:57:42.74573+00,¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,B
14,2024-08-03 00:57:42.74573+00,¿Quién descubrió América?,Cristóbal Colón,Ferdinand Magellan,Vasco da Gama,A
15,2024-08-03 00:57:42.74573+00,¿Cuál es el idioma oficial de Brasil?,Español,Portugués,Inglés,B
16,2024-08-03 00:57:42.74573+00,"¿Qué es el ""Big Bang""?",Una teoría de la evolución,Una explosión cósmica,Un nuevo elemento químico,B
17,2024-08-03 00:57:42.74573+00,¿Cuál es el animal terrestre más rápido?,León,Cheetah,Elefante,B
18,2024-08-03 00:57:42.74573+00,¿Qué gas respiramos principalmente?,Oxígeno,Dióxido de carbono,Nitrógeno,C
19,2024-08-03 00:57:42.74573+00,¿Cuál es la moneda de Japón?,Won,Yuan,Yen,C
20,2024-08-03 00:57:42.74573+00,"¿Quién es el autor de ""Harry Potter""?",J.K. Rowling,J.R.R. Tolkien,George R.R. Martin,A
21,2024-08-03 00:57:42.74573+00,¿Cuál es el deporte más popular del mundo?,Fútbol,Baloncesto,Tenis,A
22,2024-08-03 00:57:42.74573+00,¿Cuál es la capital de Canadá?,Vancouver,Toronto,Ottawa,C
23,2024-08-03 00:57:42.74573+00,¿Qué parte del cuerpo humano produce insulina?,Hígado,Páncreas,Riñones,B
24,2024-08-03 00:57:42.74573+00,¿Cuál es el país más grande del mundo por superficie?,China,Estados Unidos,Rusia,C
